ilan_no,room,salon,brut_m2,net_m2,floor_location,building_age,building_floor,compliance_with_loan,bathroom_amount,building_type,fuel_type,price,il,ilce,mahalle,home_link
121517-414,2,1,100,95,2,0,4,True,1,Betonarme,Doğalgaz,1749000,İstanbul,Beylikdüzü,Cumhuriyet,https://www.hepsiemlak.com//en/istanbul-beylikduzu-cumhuriyet-satilik/daire/121517-414

121517-414,2,1,100,95,2,0,4,True,1,Betonarme,Doğalgaz,,İstanbul,Beylikdüzü,Cumhuriyet,https://www.hepsiemlak.com//en/istanbul-maltepe-aydinevler-satilik/daire/3990-1737

121517-414,2,1,100,95,2,0,4,True,1,Betonarme,Doğalgaz,,İstanbul,Beylikdüzü,Cumhuriyet,https://www.hepsiemlak.com//en/balikesir-edremit-akcay-satilik/daire/84036-25360

129287-189,2,1,80,65,Zemin,2,4,True,1,Betonarme,Doğalgaz,1670000,Aydın,Kuşadası,Davutlar,https://www.hepsiemlak.com//en/aydin-kusadasi-davutlar-satilik/daire/129287-189

129287-189,2,1,80,65,Zemin,2,4,True,1,Betonarme,Doğalgaz,,Aydın,Kuşadası,Davutlar,https://www.hepsiemlak.com//en/tekirdag-marmaraereglisi-yeniciftlik-satilik/daire/69797-268

108245-2401,2,1,60,50,3,2,4,True,1,Betonarme,Doğalgaz,1200000,Balıkesir,Altıeylül,Plevne,https://www.hepsiemlak.com//en/balikesir-altieylul-plevne-satilik/daire/108245-2401

108245-2401,2,1,60,50,3,2,4,True,1,Betonarme,Doğalgaz,,Balıkesir,Altıeylül,Plevne,https://www.hepsiemlak.com//en/balikesir-edremit-akcay-satilik/daire/121804-2326

135585-49,2,1,100,90,4,22,4,True,1,Betonarme,Elektrik,1199000,Balıkesir,Edremit,Akçay,https://www.hepsiemlak.com//en/balikesir-edremit-akcay-satilik/daire/135585-49

6060-41707,3,1,130,120,3,5,4,True,2,Betonarme,Doğalgaz,4500000,İstanbul,Maltepe,Küçükyalı,https://www.hepsiemlak.com//en/istanbul-maltepe-kucukyali-satilik/daire/6060-41707

10580-5539,6,1,280,230,3,15,3,True,2,Betonarme,Doğalgaz,1850000,Ankara,Çankaya,Seyranbağları,https://www.hepsiemlak.com//en/ankara-cankaya-seyranbaglari-satilik/daire/10580-5539

